Precio_real,Precio_predicho,Error_absoluto
237000,194485.56,42514.4375
453000,321988.25,131011.75
137000,157935.6,20935.59375
235000,170795.92,64204.078125
208000,235837.8,27837.796875
284000,242273.56,41726.4375
1215000,570168.25,644831.75
220000,198733.62,21266.375
126000,141177.42,15177.421875
198000,254131.0,56131.0
128000,127322.336,677.6640625
1128000,820896.2,307103.8125
140000,147275.19,7275.1875
242000,184005.19,57994.8125
254000,199087.83,54912.171875
401000,262148.75,138851.25
270000,255597.42,14402.578125
145000,154846.03,9846.03125
704000,500162.8,203837.1875
280000,204233.66,75766.34375
278000,295917.84,17917.84375
221000,206372.45,14627.546875
202000,149725.97,52274.03125
183000,139521.16,43478.84375
208000,162009.4,45990.59375
621000,382044.75,238955.25
264000,229389.88,34610.125
104000,130814.51,26814.5078125
283000,282356.8,643.1875
165000,149280.47,15719.53125
450000,221712.55,228287.453125
214000,194554.84,19445.15625
385000,420267.4,35267.40625
185000,154314.67,30685.328125
537000,549449.0,12449.0
339000,319431.66,19568.34375
80000,148554.4,68554.40625
73000,143800.16,70800.15625
474000,435014.56,38985.4375
654000,333811.34,320188.65625
229000,173312.2,55687.796875
267000,233936.1,33063.90625
142000,142334.77,334.765625
164000,176433.28,12433.28125
562000,432427.6,129572.40625
645000,563951.6,81048.375
335000,279217.12,55782.875
57000,118199.36,61199.359375
627000,523586.88,103413.125
152000,170771.47,18771.46875
243000,213418.38,29581.625
95000,151002.17,56002.171875
196000,283402.72,87402.71875
307000,261441.67,45558.328125
233000,189504.58,43495.421875
145000,144856.19,143.8125
211000,215150.03,4150.03125
157000,170363.4,13363.40625
207000,177092.69,29907.3125
199000,189634.66,9365.34375
186000,210613.8,24613.796875
682000,613961.25,68038.75
548000,544976.1,3023.875
125000,155848.19,30848.1875
699000,516860.47,182139.53125
225000,181600.69,43399.3125
592000,387087.97,204912.03125
669000,309530.9,359469.09375
1006000,665647.06,340352.9375
376000,277121.8,98878.1875
502000,281895.28,220104.71875
484000,495241.0,11241.0
681000,667846.9,13153.125
907000,499813.06,407186.9375
640000,378574.12,261425.875
77000,167860.5,90860.5
324000,268730.22,55269.78125
577000,513251.9,63748.09375
586000,451123.97,134876.03125
89000,115028.375,26028.375
222000,210679.5,11320.5
710000,613335.9,96664.125
518000,461843.44,56156.5625
95000,138115.5,43115.5
493000,303738.94,189261.0625
281000,265821.6,15178.40625
98000,127030.57,29030.5703125
191000,166692.73,24307.265625
166000,157550.86,8449.140625
246000,276081.97,30081.96875
227000,230713.95,3713.953125
159000,179329.12,20329.125
295000,161495.25,133504.75
123000,156581.38,33581.375
269000,207647.89,61352.109375
479000,373668.72,105331.28125
788000,741272.7,46727.3125
308000,225932.6,82067.40625
271000,232906.98,38093.015625
142000,154873.72,12873.71875
341000,311657.88,29342.125
389000,244829.12,144170.875
384000,335599.66,48400.34375
142000,166899.42,24899.421875
467000,521528.25,54528.25
735000,479729.53,255270.46875
537000,476597.25,60402.75
576000,652867.06,76867.0625
475000,445753.16,29246.84375
536000,371116.3,164883.6875
387000,314047.8,72952.1875
92000,146382.58,54382.578125
506000,445833.8,60166.1875
201000,235829.89,34829.890625
165000,171474.38,6474.375
249000,252880.42,3880.421875
367000,294307.62,72692.375
850000,474107.28,375892.71875
204000,195237.72,8762.28125
324000,187427.84,136572.15625
95000,165423.97,70423.96875
152000,171530.77,19530.765625
1191000,683678.5,507321.5
279000,205524.55,73475.453125
775000,601101.8,173898.1875
1148000,764912.6,383087.375
237000,198989.47,38010.53125
86000,133884.81,47884.8125
203000,189459.67,13540.328125
579000,563602.5,15397.5
172000,150752.84,21247.15625
425000,391992.25,33007.75
733000,554330.0,178670.0
90000,207384.11,117384.109375
253000,236842.69,16157.3125
96000,179136.0,83136.0
149000,165736.72,16736.71875
441000,548489.0,107489.0
557000,429724.06,127275.9375
560000,465364.25,94635.75
549000,395204.3,153795.6875
163000,132718.9,30281.09375
671000,677576.25,6576.25
195000,366900.0,171900.0
240000,244447.48,4447.484375
89000,125015.87,36015.8671875
80000,115508.69,35508.6875
113000,134245.16,21245.15625
104000,131992.1,27992.09375
112000,165349.38,53349.375
224000,209755.22,14244.78125
369000,230959.16,138040.84375
267000,342169.66,75169.65625
404000,368176.34,35823.65625
374000,372320.12,1679.875
381000,255374.58,125625.421875
621000,489178.84,131821.15625
360000,206683.98,153316.015625
254000,338223.6,84223.59375
536000,297790.0,238210.0
290000,168371.84,121628.15625
505000,347451.12,157548.875
151000,184700.16,33700.15625
676000,524756.0,151244.0
122000,173891.56,51891.5625
198000,195092.97,2907.03125
158000,162514.94,4514.9375
181000,208160.75,27160.75
276000,241164.33,34835.671875
1124000,622789.0,501211.0
533000,502357.22,30642.78125
147000,183396.14,36396.140625
147000,148572.08,1572.078125
347000,239977.72,107022.28125
343000,409033.34,66033.34375
422000,268734.28,153265.71875
510000,276802.88,233197.125
140000,185439.92,45439.921875
231000,232174.34,1174.34375
360000,227156.05,132843.953125
121000,191910.08,70910.078125
673000,459136.28,213863.71875
283000,190358.0,92642.0
307000,252970.75,54029.25
89000,166314.25,77314.25
490000,461683.8,28316.1875
180000,161770.11,18229.890625
164000,163959.78,40.21875
467000,290401.9,176598.09375
235000,153211.38,81788.625
373000,279341.56,93658.4375
98000,162187.0,64187.0
232000,268541.06,36541.0625
359000,314364.3,44635.6875
251000,189165.3,61834.703125
116000,153600.4,37600.40625
225000,193627.67,31372.328125
1105000,751062.5,353937.5
260000,236353.78,23646.21875
131000,126260.15,4739.8515625
471000,273644.72,197355.28125
505000,457128.0,47872.0
116000,114868.61,1131.390625
588000,356763.4,231236.59375
248000,182943.64,65056.359375
161000,153889.2,7110.796875
182000,183861.5,1861.5
124000,150496.0,26496.0
250000,276048.62,26048.625
158000,221666.27,63666.265625
547000,222226.73,324773.265625
278000,246235.48,31764.515625
599000,487853.75,111146.25
384000,230448.3,153551.703125
371000,222223.22,148776.78125
563000,447349.38,115650.625
194000,149210.45,44789.546875
518000,400640.7,117359.3125
249000,224959.34,24040.65625
123000,146860.83,23860.828125
174000,204462.66,30462.65625
900000,634206.1,265793.875
169000,174200.75,5200.75
109000,155031.8,46031.796875
523000,391131.12,131868.875
302000,290902.62,11097.375
101000,130409.305,29409.3046875
324000,280604.8,43395.1875
133000,137974.38,4974.375
136000,151000.62,15000.625
161000,153266.58,7733.421875
122000,164065.34,42065.34375
140000,152099.81,12099.8125
198000,194572.83,3427.171875
501000,289873.03,211126.96875
255000,250443.38,4556.625
259000,157069.08,101930.921875
384000,279361.12,104638.875
103000,143281.83,40281.828125
398000,344060.25,53939.75
552000,286529.2,265470.8125
195000,234178.89,39178.890625
578000,307795.3,270204.6875
434000,439005.62,5005.625
132000,208736.97,76736.96875
610000,303999.38,306000.625
115000,171997.36,56997.359375
118000,162979.19,44979.1875
126000,132556.9,6556.90625
398000,264485.75,133514.25
236000,206092.78,29907.21875
343000,305919.94,37080.0625
585000,582629.1,2370.875
974000,521697.0,452303.0
164000,163488.53,511.46875
